"Sort","Site","Date","time collected","time burnt","BurnSession","replicate","species_code","species_name","Taxonomic_status","Accepted_name","Accepted_family","growth_form","Vegtype","TimeToFlaming(s)","PostBurntMassEstimate(%)","MaximumFlameTemperature(°C)","blowtorch","FlammabilityIndex","FMC(%)","FMC_proportion","DataSource","Origin"
62,"Cederberg",2024-12-11,"AM","16:32","2PM - 5PM",1,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",10,50,611.7,0,2.20472732255412,51.9713261648745,0.519713261648746,"PhD","Native"
63,"Cederberg",2024-12-11,"AM","16:42","2PM - 5PM",2,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",10,40,749.9,0,2.27238360585853,37.5565610859729,0.375565610859729,"PhD","Native"
64,"Cederberg",2024-12-11,"AM","16:47","2PM - 5PM",2,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",61,55,330,0,1.48048095368594,46.5863453815261,0.465863453815261,"PhD","Native"
65,"Cederberg",2024-12-11,"AM","17:20","4PM - 6PM",2,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",38,50,527,0,1.86565116774763,51.0174418604651,0.510174418604651,"PhD","Native"
66,"Cederberg",2024-12-11,"AM","17:26","4PM - 6PM",3,"PASTRU","Passerina truncata","Accepted","Passerina truncata","Thymelaeaceae","Shrub","Fynbos",80,20,653.1,0,1.35844523613776,42.1383647798742,0.421383647798742,"PhD","Native"
67,"Cederberg",2024-12-11,"AM","17:31","4PM - 6PM",3,"RESSIE","Restio sieberi","Accepted","Restio sieberi","Restionaceae","Herb","Fynbos",61,30,435.5,0,1.34999619378216,36.5853658536585,0.365853658536585,"PhD","Native"
68,"Cederberg",2024-12-11,"AM","17:37","4PM - 6PM",3,"PROLAU","Protea laurifolia","Accepted","Protea laurifolia","Proteaceae","Shrub","Fynbos",90,25,620.6,0,1.28697664504735,54.5068285280728,0.545068285280728,"PhD","Native"
69,"Cederberg",2024-12-12,"AM","13:00","10AM - 1PM",1,"ELYRHI","Elytropappus rhinocerotis","Accepted","Elytropappus rhinocerotis","Asteraceae","Shrub","Fynbos",5,5,662.5,0,1.83786349380348,36.5740740740741,0.365740740740741,"PhD","Native"
70,"Cederberg",2024-12-12,"AM","13:02","10AM - 1PM",1,"PTEAQU","Pteridium aquilinum","Accepted","Pteridium aquilinum","Dennstaedtiaceae","Herb","Fynbos",69,90,450.2,1,1.93094987972352,57.830591102986,0.57830591102986,"PhD","Native"
71,"Cederberg",2024-12-12,"AM","13:10","10AM - 1PM",1,"SCHGRA","Schoenus gracillimus","Accepted","Schoenus gracillimus","Cyperaceae","Herb","Fynbos",9,60,513.1,0,2.19484257483024,46.8181818181818,0.468181818181818,"PhD","Native"
72,"Cederberg",2024-12-12,"AM","13:15","10AM - 1PM",1,"PARBRA","Paranomus bracteolaris","Accepted","Paranomus bracteolaris","Proteaceae","Shrub","Fynbos",20,80,418.5,0,2.19482963368959,52.8384279475983,0.528384279475983,"PhD","Native"
73,"Cederberg",2024-12-12,"AM","13:20","10AM - 1PM",1,"WILINC","Willdenowia incurvata","Accepted","Willdenowia incurvata","Restionaceae","Herb","Fynbos",22,20,642,0,1.82792089156847,41.501976284585,0.41501976284585,"PhD","Native"
74,"Cederberg",2024-12-12,"AM","13:24","10AM - 1PM",1,"MAYOLE","Maytenus oleoides","Accepted","Maytenus oleoides","Celastraceae","Tree","Fynbos",120,95,233.2,1,1.28747754331476,82.7882960413081,0.827882960413081,"PhD","Native"
75,"Cederberg",2024-12-12,"AM","13:02","10AM - 1PM",1,"BRASTE","Brabejum stellatifolium","Accepted","Brabejum stellatifolium","Proteaceae","Tree","Fynbos",56,85,419.5,0,1.94851709753053,50.1604278074866,0.501604278074866,"PhD","Native"
76,"Cederberg",2024-12-12,"AM","13:35","10AM - 1PM",1,"METANG","Metrosideros angustifolia","Accepted","Metrosideros angustifolia","Myrtaceae","Tree","Fynbos",83,85,373.7,0,1.66633857068908,58.4534731323722,0.584534731323722,"PhD","Native"
77,"Cederberg",2024-12-12,"AM","13:41","10AM - 1PM",21,"CANROB","Cannomois robusta","Accepted","Cannomois robusta","Restionaceae","Shrub","Fynbos",120,90,312.3,1,1.33379007947383,51.985559566787,0.51985559566787,"PhD","Native"
78,"Cederberg",2024-12-12,"AM","13:45","10AM - 1PM",21,"LEUGAL","Leucadendron glaberrimum","Accepted","Leucadendron glaberrimum","Proteaceae","Shrub","Fynbos",100,85,314.2,0,1.45038975670656,56.8020631850419,0.568020631850419,"PhD","Native"
79,"Cederberg",2024-12-12,"AM","13:50","10AM - 1PM",1,"KNIUVA","Kniphofia uvaria","Accepted","Kniphofia uvaria","Asphodelaceae","Herb","Fynbos",120,95,218.2,1,1.26875095155446,85.9209257473481,0.859209257473481,"PhD","Native"
80,"Cederberg",2024-12-12,"AM","13:57","10AM - 1PM",1,"LEUPUB","Leucadendron pubescens","Accepted","Leucadendron pubescens","Proteaceae","Shrub","Fynbos",58,70,590.3,0,1.98776681587041,64.1693811074919,0.641693811074919,"PhD","Native"
81,"Cederberg",2024-12-12,"AM","14:12","2PM - 5PM",2,"ELYRHI","Elytropappus rhinocerotis","Accepted","Elytropappus rhinocerotis","Asteraceae","Shrub","Fynbos",10,15,512.8,0,1.71418349014951,35.7859531772575,0.357859531772575,"PhD","Native"
82,"Cederberg",2024-12-12,"AM","14:15","2PM - 5PM",2,"PTEAQU","Pteridium aquilinum","Accepted","Pteridium aquilinum","Dennstaedtiaceae","Herb","Fynbos",37,85,350.9,0,2.02120748454676,56.7314614830814,0.567314614830814,"PhD","Native"
83,"Cederberg",2024-12-12,"AM","14:21","2PM - 5PM",2,"SCHGRA","Schoenus gracillimus","Accepted","Schoenus gracillimus","Cyperaceae","Herb","Fynbos",5,65,497.6,0,2.26126412106818,32.620320855615,0.32620320855615,"PhD","Native"
84,"Cederberg",2024-12-12,"AM","14:24","2PM - 5PM",2,"PARBRA","Paranomus bracteolaris","Accepted","Paranomus bracteolaris","Proteaceae","Shrub","Fynbos",10,90,404.3,0,2.36531317560367,55.0976138828633,0.550976138828633,"PhD","Native"
85,"Cederberg",2024-12-12,"AM","14:30","2PM - 5PM",2,"WILINC","Willdenowia incurvata","Accepted","Willdenowia incurvata","Restionaceae","Herb","Fynbos",120,50,579.4,0,1.24773606163028,42.156862745098,0.42156862745098,"PhD","Native"
86,"Cederberg",2024-12-12,"AM","14:36","2PM - 5PM",2,"MAYOLE","Maytenus oleoides","Accepted","Maytenus oleoides","Celastraceae","Tree","Fynbos",120,90,338.2,1,1.36612466124661,31.0606060606061,0.310606060606061,"PhD","Native"
87,"Cederberg",2024-12-12,"AM","14:44","2PM - 5PM",2,"BRASTE","Brabejum stellatifolium","Accepted","Brabejum stellatifolium","Proteaceae","Tree","Fynbos",120,75,465.8,1,1.3681084619835,61.7521367521367,0.617521367521367,"PhD","Native"
88,"Cederberg",2024-12-12,"AM","14:48","2PM - 5PM",2,"METANG","Metrosideros angustifolia","Accepted","Metrosideros angustifolia","Myrtaceae","Tree","Fynbos",50,60,409.8,0,1.72421211290765,53.3234859675037,0.533234859675037,"PhD","Native"
89,"Cederberg",2024-12-12,"AM","14:54","2PM - 5PM",2,"CANROB","Cannomois robusta","Accepted","Cannomois robusta","Restionaceae","Shrub","Fynbos",120,95,258,1,1.31843884169179,63.3217993079585,0.633217993079585,"PhD","Native"
90,"Cederberg",2024-12-12,"AM","14:59","2PM - 5PM",2,"LEUGAL","Leucadendron glaberrimum","Accepted","Leucadendron glaberrimum","Proteaceae","Shrub","Fynbos",50,95,193,0,1.82062361073049,59.5595595595596,0.595595595595596,"PhD","Native"
91,"Cederberg",2024-12-12,"AM","15:04","2PM - 5PM",2,"KNIUVA","Kniphofia uvaria","Accepted","Kniphofia uvaria","Asphodelaceae","Herb","Fynbos",120,95,355.2,1,1.43978715629853,88.8741721854305,0.888741721854305,"PhD","Native"
92,"Cederberg",2024-12-12,"AM","15:10","2PM - 5PM",2,"LEUPUB","Leucadendron pubescens","Accepted","Leucadendron pubescens","Proteaceae","Shrub","Fynbos",51,90,415.2,0,2.03725449894948,49.7959183673469,0.497959183673469,"PhD","Native"
93,"Cederberg",2024-12-12,"AM","15:23","2PM - 5PM",3,"ELYRHI","Elytropappus rhinocerotis","Accepted","Elytropappus rhinocerotis","Asteraceae","Shrub","Fynbos",8,15,582.5,0,1.81786638652903,40.4312668463612,0.404312668463612,"PhD","Native"
94,"Cederberg",2024-12-12,"AM","15:27","2PM - 5PM",3,"PTEAQU","Pteridium aquilinum","Accepted","Pteridium aquilinum","Dennstaedtiaceae","Herb","Fynbos",120,80,424.6,0,1.36911178100545,58.4937712344281,0.584937712344281,"PhD","Native"
95,"Cederberg",2024-12-12,"AM","15:34","2PM - 5PM",3,"SCHGRA","Schoenus gracillimus","Accepted","Schoenus gracillimus","Cyperaceae","Herb","Fynbos",5,65,491.6,0,2.25377348436406,40.3333333333333,0.403333333333333,"PhD","Native"
96,"Cederberg",2024-12-12,"AM","15:39","2PM - 5PM",3,"PARBRA","Paranomus bracteolaris","Accepted","Paranomus bracteolaris","Proteaceae","Shrub","Fynbos",19,80,494.8,0,2.29841889711032,67.7677677677678,0.677677677677678,"PhD","Native"
97,"Cederberg",2024-12-12,"AM","15:43","2PM - 5PM",3,"WILINC","Willdenowia incurvata","Accepted","Willdenowia incurvata","Restionaceae","Herb","Fynbos",120,90,349.8,1,1.38060655887458,63.1578947368421,0.631578947368421,"PhD","Native"
98,"Cederberg",2024-12-12,"AM","15:49","2PM - 5PM",3,"MAYOLE","Maytenus oleoides","Accepted","Maytenus oleoides","Celastraceae","Tree","Fynbos",120,75,365,1,1.24226576535428,61.038961038961,0.61038961038961,"PhD","Native"
99,"Cederberg",2024-12-12,"AM","16:02","2PM - 5PM",3,"BRASTE","Brabejum stellatifolium","Accepted","Brabejum stellatifolium","Proteaceae","Tree","Fynbos",91,15,652.5,0,1.21359048141043,53.0050083472454,0.530050083472454,"PhD","Native"
100,"Cederberg",2024-12-12,"AM","16:09","2PM - 5PM",3,"METANG","Metrosideros angustifolia","Accepted","Metrosideros angustifolia","Myrtaceae","Tree","Fynbos",56,85,298.7,0,1.79770561188758,52.1239954075775,0.521239954075775,"PhD","Native"
101,"Cederberg",2024-12-12,"AM","16:13","2PM - 5PM",3,"CANROB","Cannomois robusta","Accepted","Cannomois robusta","Restionaceae","Shrub","Fynbos",30,75,421.7,0,2.06305228220821,48.4320557491289,0.484320557491289,"PhD","Native"
102,"Cederberg",2024-12-12,"AM","16:18","2PM - 5PM",3,"LEUGAL","Leucadendron glaberrimum","Accepted","Leucadendron glaberrimum","Proteaceae","Shrub","Fynbos",120,65,445.7,0,1.23813678024421,52.0286396181384,0.520286396181384,"PhD","Native"
