"unique_ID","scientific_name_original","genus_MG","family_MG","scientific_name_WFO","scientific_name_authorship","family_WFO","latitude","longitude","subregion","replicate","date","collector","sample","num_leaves","leaf_area_cm2","leaf_length_cm","avg_leaf_width_cm","max_leaf_width_cm","leaf_thickness_mm","leaf_fresh_wgt_g","leaf_dry_wgt_g","twig_fresh_g","twig_dry_g","lma","fwc","succulence","ldmc","lwr","twig_fwc"
"729_14_htr","Galenia africana","Galenia","Aizoaceae","Aizoon africanum","(L.) Klak","Aizoaceae",-31.42854,19.77599,"htr","3",2014-07-29,"BHR",14,"65",12.47,1.6,0.2,0.3,0.691,0.787,0.238,0.349,0.22,0.019085806,2.306722689,0.044025662,0.302414231,8,0.586363636
"729_15_htr","Pteronia incana","Pteronia","Asteraceae","Pteronia incana","DC.","Asteraceae",-31.42854,19.77599,"htr","5",2014-07-29,"BHR",15,"75",3.22,0.6,0.1,0.2,0.314,0.134,0.062,0.072,0.046,0.019254658,1.161290323,0.022360248,0.462686567,6,0.565217391
"729_15_htr","Pteronia incana","Pteronia","Asteraceae","Pteronia incana","DC.","Asteraceae",-31.42854,19.77599,"htr","3",2014-07-29,"BHR",15,"80",3.9,0.6,0.1,0.1,0.434,0.151,0.057,0.152,0.101,0.014615385,1.649122807,0.024102564,0.377483444,6,0.504950495
"729_15_htr","Pteronia incana","Pteronia","Asteraceae","Pteronia incana","DC.","Asteraceae",-31.42854,19.77599,"htr","2",2014-07-29,"BHR",15,"90",3.67,0.6,0.1,0.2,0.378,0.157,0.062,0.211,0.138,0.016893733,1.532258065,0.025885559,0.394904459,6,0.528985507
"729_15_htr","Pteronia incana","Pteronia","Asteraceae","Pteronia incana","DC.","Asteraceae",-31.42854,19.77599,"htr","1",2014-07-29,"BHR",15,"80",3.9,0.5,0.1,0.2,0.328,0.188,0.077,0.14,0.09,0.01974359,1.441558442,0.028461538,0.409574468,5,0.555555556
"729_15_htr","Pteronia incana","Pteronia","Asteraceae","Pteronia incana","DC.","Asteraceae",-31.42854,19.77599,"htr","4",2014-07-29,"BHR",15,"62",6.59,1.1,0.2,0.3,0.392,0.308,0.121,0.186,0.113,0.018361153,1.545454545,0.028376328,0.392857143,5.5,0.646017699
"729_16_htr","Thesium lineatum","Thesium","Santalaceae","Lacomucinaea lineata","(L.f.) Nickrent & M.A.García","Santalaceae",-31.42854,19.77599,"htr","1",2014-07-29,"BHR",16,"1",2.4,8.3,0.3,0.9,1.616,0.334,0.179,0.875,0.651,0.074583333,0.865921788,0.064583333,0.535928144,27.66666667,0.344086022
"729_16_htr","Thesium lineatum","Thesium","Santalaceae","Lacomucinaea lineata","(L.f.) Nickrent & M.A.García","Santalaceae",-31.42854,19.77599,"htr","2",2014-07-29,"BHR",16,"1",1.82,9.3,0.2,0.4,1.672,0.288,0.156,0.538,0.384,0.085714286,0.846153846,0.072527473,0.541666667,46.5,0.401041667
"729_16_htr","Thesium lineatum","Thesium","Santalaceae","Lacomucinaea lineata","(L.f.) Nickrent & M.A.García","Santalaceae",-31.42854,19.77599,"htr","3",2014-07-29,"BHR",16,"1",1.38,5.2,0.3,0.7,1.634,0.175,0.082,0.443,0.304,0.05942029,1.134146341,0.067391304,0.468571429,17.33333333,0.457236842
"729_17_htr","Felicia filifolia","Felicia","Asteraceae","Felicia filifolia","Burtt Davy","Asteraceae",-31.42854,19.77599,"htr","2",2014-07-29,"BHR",17,"60",4.81,1,0.2,0.4,0.94,0.355,0.146,0.284,0.214,0.03035343,1.431506849,0.043451143,0.411267606,5,0.327102804
"729_17_htr","Felicia filifolia","Felicia","Asteraceae","Felicia filifolia","Burtt Davy","Asteraceae",-31.42854,19.77599,"htr","1",2014-07-29,"BHR",17,"80",5.33,1,0.1,0.2,0.967,0.353,0.121,0.341,0.255,0.022701689,1.917355372,0.043527205,0.342776204,10,0.337254902
"729_17_htr","Felicia filifolia","Felicia","Asteraceae","Felicia filifolia","Burtt Davy","Asteraceae",-31.42854,19.77599,"htr","3",2014-07-29,"BHR",17,"90",6.95,1.3,0.1,0.2,1.087,0.567,0.217,0.146,0.11,0.031223022,1.612903226,0.050359712,0.382716049,13,0.327272727
